State,Deaths,Population,Crude Rate
Alabama (01),"25,079","2,592,950",967.2
Alaska (02),249,"49,051",507.6
Arizona (04),"4,091","639,652",639.6
Arkansas (05),"8,556","929,849",920.1
California (06),"41,442","4,444,637",932.4
Colorado (08),"3,086","462,608",667.1
Connecticut (09),"5,085","733,692",693.1
Delaware (10),"3,355","426,162",787.3
District of Columbia (11),"7,653","628,627","1,217.40"
Florida (12),"47,180","6,644,649",710
Georgia (13),"48,446","6,673,264",726
Hawaii (15),175,"55,714",314.1
Idaho (16),71,"26,634",266.6
Illinois (17),"35,488","3,574,640",992.8
Indiana (18),"10,917","1,280,462",852.6
Iowa (19),"1,312","241,577",543.1
Kansas (20),"2,862","334,666",855.2
Kentucky (21),"6,446","733,231",879.1
Louisiana (22),"27,997","3,004,095",932
Maine (23),153,"42,262",362
Maryland (24),"30,104","3,611,594",833.5
Massachusetts (25),"5,676","1,006,033",564.2
Michigan (26),"27,323","2,750,508",993.4
Minnesota (27),"3,122","750,203",416.2
Mississippi (28),"20,999","2,231,746",940.9
Missouri (29),"13,831","1,422,671",972.2
Montana (30),53,"11,378",465.8
Nebraska (31),"1,292","187,732",688.2
Nevada (32),"4,556","563,395",808.7
New Hampshire (33),142,"39,200",362.2
New Jersey (34),"20,418","2,298,705",888.2
New Mexico (35),706,"78,173",903.1
New York (36),"44,221","5,647,681",783
North Carolina (37),"39,090","4,460,121",876.4
North Dakota (38),86,"49,486",173.8
Ohio (39),"28,453","2,955,753",962.6
Oklahoma (40),"5,235","586,300",892.9
Oregon (41),"1,113","164,717",675.7
Pennsylvania (42),"25,738","2,783,174",924.8
Rhode Island (44),686,"128,289",534.7
South Carolina (45),"25,787","2,713,530",950.3
South Dakota (46),104,"39,609",262.6
Tennessee (47),"20,002","2,275,348",879.1
Texas (48),"50,796","6,943,254",731.6
Utah (49),313,"74,363",420.9
Vermont (50),54,"16,307",331.1
Virginia (51),"27,797","3,259,660",852.8
Washington (53),"3,476","599,855",579.5
West Virginia (54),"1,395","126,204","1,105.40"
Wisconsin (55),"5,803","743,182",780.8
Wyoming (56),71,"13,118",541.2
